Topic,Count,t1,t2,t3,t4,booksInTopic,msCount,0845Maqrizi.Muqaffa.Shamela19Y0145334-ara1,0845Maqrizi.ImtacAsmac.Shamela0001524-ara1,0845Maqrizi.ItticazHunafa.Shamela0000176-ara1.completed,0845Maqrizi.Mawaciz.MAB02082022-ara1.completed,0845Maqrizi.Suluk.Shamela0006667-ara1.mARkdown,0845Maqrizi.IghathaUmma.Kraken210223142017-ara1
87,79,تشاء,منهن,ترجي,وتءوي,1,30,,30.0,,,,
391,15,تطهيرا,الرجس,ويطهركم,ليذهب,1,5,,5.0,,,,
40,141,تعالي,ربه,الطوفي,قوله,3,62,1.0,60.0,1.0,,,
70,94,تعالي,ميثاق,اتيتكم,واذ,4,49,1.0,44.0,2.0,2.0,,
481,12,تغلب,والعسكران,الاخشيدية,وفلسطين,3,6,1.0,,4.0,1.0,,
439,13,تقول,قلت,افبكتاب,لكتاب,2,5,4.0,1.0,,,,
532,10,تمربغا,المحمدي,بعساكرها,والامير,1,10,,,,,10.0,
371,16,تنعم,تقتل,لوددنا,فسل,1,13,,13.0,,,,
145,49,تونس,فاس,الموحدين,الواحد,3,36,5.0,,,1.0,30.0,
163,43,ثقة,فسمع,حافظا,نيسابور,1,37,37.0,,,,,
487,11,ثم,قوله,حم,برب,1,2,,2.0,,,,
415,14,ثيابي,ووصلنا,عضد,والشيخ,3,8,6.0,,1.0,1.0,,
103,70,جبريل,امتك,بالجنة,فقلت,2,42,4.0,38.0,,,,
454,13,جبريل,امرتني,مكروبا,يستاذن,1,8,,8.0,,,,
434,13,جبريل,جامعة,ويقتدي,ويءم,1,2,,2.0,,,,
295,22,جدة,التجار,الهند,الواردين,3,11,,,1.0,1.0,9.0,
207,31,جمال,المدرسة,وحكم,الاستبدال,3,18,3.0,,,10.0,5.0,
471,12,جهاد,بزاخة,طليحة,لقتالهم,1,5,,5.0,,,,
299,21,حام,نوح,بنصر,مصرايم,2,14,1.0,,,13.0,,
135,53,حدث,ابو,روي,توفي,1,49,49.0,,,,,
238,27,حدثتني,عبيط,جدتي,يقلب,3,9,2.0,5.0,,2.0,,
